{0} Digest,{0} Bản tóm tắt,
{0} does not belong to Company {1},{0} không thuộc về Công ty {1},
{0} does not have a Healthcare Practitioner Schedule. Add it in Healthcare Practitioner,{0} không có Lịch biểu của bác sĩ chăm sóc sức khỏe. Thêm nó vào Bác sĩ chăm sóc sức khỏe,
{0} does not have a Healthcare Practitioner Schedule. Add it in Healthcare Practitioner master,{0} chưa có Lịch Khám Sức Khỏe. Thêm vào danh sách Lịch Khám Sức Khỏe chính,
{0} entered twice in Item Tax,{0} Đã nhập hai lần vào Thuế vật tư,
{0} for {1},{0} cho {1},
{0} has appointment scheduled with {1} at {2} having {3} minute(s) duration.,{0} đã lên lịch cuộc hẹn với {1} lúc {2} có thời lượng {3} phút.,
{0} has been submitted successfully,{0} đã được gửi thành công,
{0} has fee validity till {1},{0} có giá trị lệ phí đến {1},
{0} hours,{0} giờ,
{0} in row {1},{0} trong hàng {1},
{0} is blocked so this transaction cannot proceed,{0} bị chặn nên giao dịch này không thể tiến hành,
{0} is mandatory,{0} là bắt buộc,
{0} is mandatory for Item {1},{0} là bắt buộc đối với Mục {1},
{0} is mandatory. Maybe Currency Exchange record is not created for {1} to {2},{0} là bắt buộc. Có thể bản ghi Đổi tiền tệ không được tạo cho {1} đến {2},
{0} is mandatory. Maybe Currency Exchange record is not created for {1} to {2}.,{0} là bắt buộc. Bản ghi thu đổi ngoại tệ có thể không được tạo ra cho {1} tới {2}.,
{0} is not a company bank account,{0} không phải là tài khoản ngân hàng của công ty,
{0} is not a group node. Please select a group node as parent cost center,{0} không phải là nút nhóm. Vui lòng chọn một nút nhóm làm trung tâm chi phí mẹ,
{0} is not a stock Item,{0} không phải là 1 vật liệu tồn kho,
{0} is not a valid Batch Number for Item {1},{0} không phải là một dãy số hợp lệ với vật liệu  {1},
{0} is not a valid state! Check for typos or enter the ISO code for your state.,{0} không phải là một trạng thái hợp lệ! Kiểm tra lỗi chính tả hoặc nhập mã ISO cho tiểu bang của bạn.,
{0} is not a valid Value for Attribute {1} of Item {2}.,{0} không phải là Giá trị hợp lệ cho Thuộc tính {1} của Mục {2}.,
{0} is not added in the table,{0} không được thêm vào bảng,
{0} is not enabled in {1},{0} không được bật trong {1},
{0} is not in a valid Payroll Period,{0} không có trong Kỳ Phát Lương hợp lệ,
{0} is not in Optional Holiday List,{0} không có trong Danh Sách Ngày Nghỉ Tùy Chọn,
{0} is not the default supplier for any items.,{0} không phải là nhà cung cấp mặc định cho bất kỳ mục nào.,
{0} is now the default Fiscal Year. Please refresh your browser for the change to take effect.,{0}  giờ là năm tài chính mặc định. Xin vui lòng làm mới trình duyệt của bạn để  thay đổi có hiệu lực.,
{0} is on a Half day Leave on {1},{0} đang ở Nửa ngày Nghỉ phép vào {1},
{0} is on hold till {1},{0} đang bị giữ đến {1},
{0} is on Leave on {1},{0} đang Nghỉ vào {1},
{0} is required,{0} được yêu cầu,
{0} item found.,{0} mục được tìm thấy.,
{0} items found.,{0} mục được tìm thấy.,
{0} items in progress,{0} mục trong tiến trình,
{0} items produced,{0} mục được sản xuất,
{0} medication order completed,{0} đơn đặt hàng thuốc đã hoàn thành,
{0} medication orders completed,{0} đơn đặt hàng thuốc đã hoàn thành,
{0} must appear only once,{0} chỉ được xuất hiện một lần,
{0} must be negative in return document,{0} phải là số âm trong tài liệu trả về,
{0} must be submitted,{0} phải được gửi,
{0} Name,{0} Tên,
{0} not allowed to transact with {1}. Please change the Company.,{0} không được phép giao dịch với {1}. Vui lòng thay đổi Công ty.,
{0} not found for item {1},{0} không tìm thấy cho khoản {1},
{0} Number {1} is already used in {2} {3},{0} Số {1} đã được sử dụng trong {2} {3},
{0} on {1},{0} trên {1},
{0} Operations: {1},{0} Hoạt động: {1},
{0} or {1} is mandatory,{0} hoặc {1} là bắt buộc,
{0} out of {1},{0} trong số {1},
{0} parameter is invalid,Tham số {0} không hợp lệ,
{0} payment entries can not be filtered by {1},{0} bút toán thanh toán không thể được lọc bởi {1},
{0} Request for {1},{0} Yêu cầu cho {1},
{0} Result submittted,{0} Đã gửi kết quả,
"{0} Retain Sample is based on batch, please check Has Batch No to retain sample of item","{0} Giữ lại Mẫu dựa trên lô, vui lòng kiểm tra Có Lô Không để giữ lại mẫu của mặt hàng",
{0} Serial No {1} cannot be delivered,Không thể gửi {0} Serial No {1},
{0} Serial Numbers required for Item {1}. You have provided {2}.,{0} những dãy số được yêu cầu cho vật liệu {1}. Bạn đã cung cấp {2}.,
{0} session completed,{0} phiên đã hoàn thành,
{0} sessions completed,{0} phiên đã hoàn thành,
{0} should be a value between 0 and 100,{0} phải là một giá trị từ 0 đến 100,
{0} Student Groups created.,{0} Các nhóm sinh viên được tạo ra.,
{0} Students have been enrolled,{0} Học sinh đã ghi danh,
{0} units of [{1}](#Form/Item/{1}) found in [{2}](#Form/Warehouse/{2}),{0} đơn vị [{1}](#Form/Item/{1}) được tìm thấy trong [{2}](#Form/Warehouse/{2}),
{0} units of {1} needed in {2} on {3} {4} for {5} to complete this transaction.,{0} đơn vị của {1} cần thiết trong {2} trên {3} {4} cho {5} để hoàn thành giao dịch này.,
{0} units of {1} needed in {2} to complete this transaction.,{0} đơn vị của {1} cần thiết trong {2} để hoàn thành giao dịch này.,
{0} units of Item {1} is not available.,{0} đơn vị Mặt hàng {1} không có sẵn.,
{0} valid serial nos for Item {1},{0} Các dãy số hợp lệ cho vật liệu {1},
{0} variants created.,Đã tạo {0} biến thể.,
{0} with {1},{0} với {1},
"{0}, complete the operation {1} before the operation {2}.","{0}, hoàn tất thao tác {1} trước khi thao tác {2}.",
{0}: {1} does not exists,{0}: {1} không tồn tại,
{0}: {1} must be less than {2},{0}: {1} phải nhỏ hơn {2},
{0}: {1} not found in Invoice Details table,{0}: {1} không tìm thấy trong bảng hóa đơn chi tiết,
"{0}: Employee email not found, hence email not sent",{0}: không tìm thấy email của nhân viên. do đó không gửi được email,
{0}: From {0} of type {1},{0}: Từ {0} của loại {1},
{0}: From {1},{0}: Từ {1},
{0}{1} Did you rename the item? Please contact Administrator / Tech support,{0} {1} Bạn có đổi tên mục này không? Vui lòng liên hệ với Quản trị viên / Hỗ trợ kỹ thuật,
{0}% Billed,{0}% hóa đơn đã lập,
{0}% Delivered,{0}% Đã giao hàng,
{1} Not in Stock,{1} Không có trong kho,
* Will be calculated in the transaction.,* Sẽ được tính toán trong giao dịch.,
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,** Năm tài chính** đại diện cho một năm tài chính. Tất cả các bút toán kế toán và giao dịch chính khác được theo dõi  với **năm tài chính **.,
**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,** Đóng góp hàng tháng ** giúp bạn đóng góp vào Ngân sách/Mục tiêu qua các tháng nếu việc kinh doanh của bạn có tính thời vụ,
%  Delivered,% Đã giao,
% Amount Billed,% Số tiền đã ghi hóa đơn,
% Billed,% Hóa đơn đã lập,
% Complete,% Hoàn thành,
% Complete Method,% Phương pháp hoàn chỉnh,
% Completed,% Hoàn thành,
% Installed,% Đã cài,
% Of Grand Total,Tổng số%,
% of materials billed against this Sales Order,% của NVL đã có hoá đơn gắn với đơn đặt hàng này,
% of materials delivered against this Delivery Note,% của nguyên vật liệu đã được giao với phiếu xuất kho này.,
% of materials delivered against this Sales Order,% của nguyên vật liệu đã được giao gắn với đơn đặt hàng này,
% Ordered,% đã đặt,
% Progress,% đang xử lý,
% Received,% đã nhận,
`Freeze Stocks Older Than` should be smaller than %d days.,'Để cách li hàng tồn kho cũ' nên nhỏ hơn %d ngày,
<b>Company</b> is a mandatory filter.,<b>Công ty</b> là một bộ lọc bắt buộc.,
<b>Example:</b> SAL-{first_name}-{date_of_birth.year} <br>This will generate a password like SAL-Jane-1972,<b>Ví dụ:</b> SAL- {First_name} - {date_of_birth.year} <br> Điều này sẽ tạo ra một mật khẩu như SAL-Jane-1972,
<b>From Date</b> is a mandatory filter.,<b>Từ ngày</b> là một bộ lọc bắt buộc.,
<b>From Time</b> cannot be later than <b>To Time</b> for {0},<b>Từ thời gian</b> không thể muộn hơn <b>Thời gian</b> cho {0},
"<b>Single</b>: Results which require only a single input.\n<br>\n<b>Compound</b>: Results which require multiple event inputs.\n<br>\n<b>Descriptive</b>: Tests which have multiple result components with manual result entry.\n<br>\n<b>Grouped</b>: Test templates which are a group of other test templates.\n<br>\n<b>No Result</b>: Tests with no results, can be ordered and billed but no Lab Test will be created. e.g.. Sub Tests for Grouped results","<b>Đơn</b> : Kết quả chỉ yêu cầu một đầu vào duy nhất.<br> <b>Kết hợp</b> : Kết quả yêu cầu nhiều đầu vào sự kiện.<br> <b>Mô tả</b> : Các bài kiểm tra có nhiều thành phần kết quả với mục nhập kết quả thủ công.<br> <b>Đã nhóm</b> : Các mẫu thử nghiệm là một nhóm các mẫu thử nghiệm khác.<br> <b>Không có kết quả</b> : Các bài kiểm tra không có kết quả, có thể được đặt hàng và lập hóa đơn nhưng sẽ không có bài kiểm tra Lab nào được tạo. ví dụ. Kiểm tra phụ cho kết quả được nhóm",
<b>To Date</b> is a mandatory filter.,<b>Đến ngày</b> là một bộ lọc bắt buộc.,
01-Sales Return,01-Doanh thu trở lại,
02-Post Sale Discount,Giảm giá 02 lần đăng ký,
03-Deficiency in services,03-Sự thiếu hụt trong các dịch vụ,
04-Correction in Invoice,04-Chỉnh sửa trong hóa đơn,
05-Change in POS,05-Thay đổi trong POS,
06-Finalization of Provisional assessment,06-Hoàn thiện đánh giá tạm thời,
07-Others,07-Khác,
1 exact match.,1 trận đấu chính xác.,
1 hr,1 giờ,
1 Loyalty Points = How much base currency?,1 Điểm Thân Thiết = Bao nhiêu tiền gốc?,
194A,194A,
194C,194C,
194D,194D,
194H,194 giờ,
194I,194I,
194J,194J,
194LA,194LA,
194LBB,194LBB,
194LBC,194LBC,
2 Yearly,2 Hàng năm,
30 mins,30 phút,
6 hrs,6 giờ,
90-Above,Trên - 90,
A {0} exists between {1} and {2} (,{0} tồn tại trong khoảng từ {1} đến {2} (,
A BOM with name {0} already exists for item {1}.,BOM có tên {0} đã tồn tại cho mục {1}.,
A condition for a Shipping Rule,1 điều kiện cho quy tắc giao hàng,
A Customer Group exists with same name please change the Customer name or rename the Customer Group,Một Nhóm khách hàng cùng tên đã tồn tại. Hãy thay đổi tên khách hàng hoặc đổi tên nhóm khách hàng,
A customer is already linked to this Member,Một khách hàng đã được liên kết với Thành viên này,
A customer with the same name already exists,Một khách hàng có cùng tên đã tồn tại,
A Default Service Level Agreement already exists.,Thỏa thuận cấp độ dịch vụ mặc định đã tồn tại.,
A Distributed Cost Center cannot be added in the Distributed Cost Center allocation table.,Không thể thêm Trung tâm Chi phí Phân tán trong bảng phân bổ Trung tâm Chi phí Phân tán.,
A Lead requires either a person's name or an organization's name,Một khách hàng tiềm năng yêu cầu tên của một người hoặc tên của một tổ chức,
A link to all the Locations in which the Crop is growing,Một liên kết đến tất cả các Vị trí mà Crop đang phát triển,
A logical Warehouse against which stock entries are made.,Một Kho thích hợp gắn với các phiếu nhập kho đã được tạo,
A Negative,Âm bản,
A new appointment has been created for you with {0},Một cuộc hẹn mới đã được tạo cho bạn với {0},
A Positive,A Tích cực,
"A Product or a Service that is bought, sold or kept in stock.","Một sản phẩm hay một dịch vụ được mua, bán hoặc lưu giữ trong kho.",
A question must have more than one options,Một câu hỏi phải có nhiều hơn một lựa chọn,
A qustion must have at least one correct options,Một đốt phải có ít nhất một lựa chọn đúng,
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,Một nhà phân phối của bên thứ ba / đại lý / hoa hồng đại lý / chi nhánh / đại lý bán lẻ chuyên bán các sản phẩm công ty cho hưởng hoa hồng.,
A-,A-,
A+,A +,
A4,A4,
AB Negative,AB âm,
AB Positive,AB Tích cực,
AB-,AB-,
AB+,AB +,
Abbr,Viết tắt,
Abbr can not be blank or space,Viết tắt ko được để trống,
Abbreviation,Rút gọn,
Abbreviation already used for another company,Bản rút gọn đã được sử dụng cho một công ty khác,
Abbreviation cannot have more than 5 characters,Tên viết tắt không thể có nhiều hơn 5 ký tự,
Abbreviation is mandatory,Tên viết tắt là bắt buộc,
Abdomen,Bụng,
About the Company,Về công ty,
About your company,Giới thiệu về công ty của bạn,
Above,Ở trên,
Absent,Vắng mặt,
Absent Days,Ngày vắng mặt,
Absent Student Report,Báo cáo Sinh viên vắng mặt,
Academic,học tập,
Academic Term,Thời hạn học tập,
Academic Term and Program,Học kỳ và Chương trình,
Academic Term: ,Học thuật:,
Academic Year,Năm học,
Academic Year Name,Tên Năm học,
Academic Year: ,Năm học:,
Academics User,Người dùng học thuật,
ACC-AML-.YYYY.-,ACC-AML-.YYYY.-,
ACC-ASR-.YYYY.-,ACC-ASR-.YYYY.-,
ACC-ASS-.YYYY.-,ACC-ASS-.YYYY.-,
ACC-BTN-.YYYY.-,ACC-BTN-.YYYY.-,
ACC-CF-.YYYY.-,ACC-CF-.YYYY.-,
ACC-JV-.YYYY.-,ACC-JV-.YYYY.-,
ACC-PAY-.YYYY.-,ACC-PAY-.YYYY.-,
ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-,
ACC-PINV-RET-.YYYY.-,ACC-PINV-RET-.YYYY.-,
ACC-PRQ-.YYYY.-,ACC-PRQ-.YYYY.-,
ACC-PSINV-.YYYY.-,ACC-PSINV-.YYYY.-,
ACC-SH-.YYYY.-,ACC-SH-.YYYY.-,
ACC-SINV-.YYYY.-,ACC-SINV-.YYYY.-,
ACC-SINV-RET-.YYYY.-,ACC-SINV-RET-.YYYY.-,
Acceptance Criteria,Tiêu chí chấp nhận,
Accepted,Chấp nhận,
Accepted + Rejected Qty must be equal to Received quantity for Item {0},Số lượng chấp nhận + từ chối phải bằng số lượng giao nhận {0},
Accepted Qty,Số lượng được chấp nhận,
Accepted Qty as per Stock UOM,Số lượng được chấp nhận theo UOM cổ phiếu,
Accepted Quantity,Số lượng chấp nhận,
Accepted Warehouse,Xác nhận kho hàng,
Access Token,Mã truy cập,
Access Token Secret,Truy cập bí mật mã thông báo,
Accessable Value,Giá trị có thể truy cập,
Account,Tài khoản,
account,Tài khoản,
Account {0} does not belong to company {1},Tài khoản {0} không thuộc về công ty {1},
Account {0} does not belong to company: {1},Tài khoản {0} không thuộc về công ty: {1},
Account {0} does not belongs to company {1},Tài khoản {0} không thuộc về công ty {1},
Account {0} does not exist,Tài khoản {0} không tồn tại,
Account {0} does not exists,Tài khoản {0} không tồn tại,
Account {0} does not exists in the dashboard chart {1},Tài khoản {0} không tồn tại trong biểu đồ bảng điều khiển {1},
Account {0} does not match with Company {1} in Mode of Account: {2},Tài khoảng {0} không phù hợp với Công ty {1} tại phương thức tài khoản: {2},
Account {0} exists in parent company {1}.,Tài khoản {0} tồn tại trong công ty mẹ {1}.,
Account {0} has been entered multiple times,Tài khoản {0} đã được nhập nhiều lần,
Account {0} is added in the child company {1},Tài khoản {0} được thêm vào công ty con {1},
Account {0} is frozen,Tài khoản {0} bị đóng băng,
Account {0} is invalid. Account Currency must be {1},Tài khoản của {0} là không hợp lệ. Tài khoản ngắn hạn phải là {1},
Account {0}: Parent account {1} can not be a ledger,Tài khoản {0}: tài khoản mẹ {1} không thể là một sổ cái,
Account {0}: Parent account {1} does not belong to company: {2},Tài khoản {0}: Tài khoản mẹ {1} không thuộc về công ty: {2},
Account {0}: Parent account {1} does not exist,Tài khoản {0}: Tài khoản mẹ {1} không tồn tại,
Account {0}: You can not assign itself as parent account,Tài khoản {0}: Bạn không thể chỉ định chính nó làm tài khoản mẹ,
Account Balance,Số dư Tài khoản,
"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'","Tài khoản đang dư Có, bạn không được phép thiết lập 'Số dư TK phải ' là 'Nợ'",
"Account balance already in Debit, you are not allowed to set 'Balance Must Be' as 'Credit'","Tài khoản đang dư Nợ, bạn không được phép thiết lập 'Số Dư TK phải' là 'Có'",
Account Balance Processing Error,Lỗi xử lý số dư tài khoản,
Account Currency,Tiền tệ Tài khoản,
Account Details,Chi tiết tài khoản,
Account for Change Amount,Tài khoản giao dịch số Tiền,
Account Head,Tài khoản chính,
Account Info,Thông tin tài khoản,
Account is mandatory to get payment entries,Tài khoản là bắt buộc để có được các mục thanh toán,
Account is not set for the dashboard chart {0},Tài khoản không được đặt cho biểu đồ bảng điều khiển {0},
Account Manager,Quản lý tài khoản,
Account Missing,Tài khoản bị thiếu,
Account Name,Tên Tài khoản,
Account No,Tài khoản Không,
Account Not Found,Tài khoản không được tìm thấy,
Account Number,Số tài khoản,
Account Number {0} already used in account {1},Số tài khoản {0} đã được sử dụng trong tài khoản {1},
Account number for account {0} is not available.<br> Please setup your Chart of Accounts correctly.,Số tài khoản cho tài khoản {0} không có sẵn. <br> Xin vui lòng thiết lập chính xác bảng xếp hạng của bạn.,
Account Paid From,Tài khoản Trích nợ,
Account Paid To,Tài khoản Thụ hưởng,
Account Pay Only,Tài khoản Chỉ Thanh toán,
Account SID,Tài khoản SID,
Account Subtype,Tiểu loại tài khoản,
Account Type,Loại Tài khoản,
Account Type for {0} must be {1},Loại tài khoản cho {0} phải là {1},
Account Value,Giá trị tài khoản,
Account with child nodes cannot be converted to ledger,Tài khoản có các nút TK con không thể chuyển đổi sang sổ cái được,
Account with child nodes cannot be set as ledger,Không thể thiết lập là sổ cái vì Tài khoản có các node TK con,
Account with existing transaction can not be converted to group.,Không thể chuyển đổi sang loại nhóm vì Tài khoản vẫn còn giao dịch,
Account with existing transaction can not be deleted,Không thể xóa TK vì vẫn còn giao dịch,
Account with existing transaction cannot be converted to ledger,Tài khoản vẫn còn giao dịch nên không thể chuyển đổi sang sổ cái,
Account: {0} can only be updated via Stock Transactions,Tài khoản: {0} chỉ có thể được cập nhật thông qua bút toán kho,
Account: {0} is not permitted under Payment Entry,Tài khoản: {0} không được phép trong Mục thanh toán,
Account: {0} with currency: {1} can not be selected,Không thể chọn được Tài khoản: {0} với loại tiền tệ: {1},
